"version","file","git_change","recorded_in_production_history","proposed_batch","decision","reason","risk_flags","production_schema_signal","referenced_objects","migration_summary"
"20260730114925","20260730114925_public_umpire_portal.sql","Main only","No","B3 Umpire operations","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-insert; rls-or-policy; grant-change","2/5 names mentioned in Production schema","public.create_public_umpire_vote; public.player_vote_lines; public.player_vote_submissions; public.public_umpire_portal_events; public.public_umpire_portal_events_id_seq","Public Umpire Match Voting submissions are written only by the guarded Edge Function. Existing authenticated submission and review behaviour remains unchanged."
"20260730124436","20260730124436_restore_default_voter_role.sql","Main only","No","B3 Umpire operations","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-insert; security-definer; grant-change","All names mentioned in Production schema","public.handle_new_user; public.profiles; public.user_role_enum; public.user_roles","Restore one limited, unscoped VOTER role for every newly-created auth user. Player-specific workflows may still add PLAYER when a person is deliberately assigned to an active team. Existing users and roles are not backfilled."
"20260731132457","20260731132457_add_stable_revsports_competition_external_ids.sql","Main only","No","B3 Hockey operations","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update","All names mentioned in Production schema","public.external_entities","Give RevSports competitions a stable synthetic source ID so future scraper runs update the same mapping row instead of creating duplicates."
"20260801013000","20260801013000_harden_field_template_grants.sql","Main only","No","B1 Shared database foundation","REPLACE_WITH_COMPATIBILITY_BRIDGE","Original file fails because live Production has no public.field_templates table.","grant-change","None mentioned in Production schema","public.field_templates","Keep reusable formation templates private to signed-in users. RLS controls which signed-in users can read or manage each owner scope."
"20260801030000","20260801030000_atomic_umpire_match_vote_submit.sql","Main only","No","B3 Umpire operations","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; grant-change","5/6 names mentioned in Production schema","auth.uid; public.divisions; public.fixtures; public.player_vote_lines; public.player_vote_submissions; public.submit_umpire_match_vote; public.user_roles","Submit a signed-in Umpire Match Voting ballot in one transaction. The function derives fixture scope from the live fixture and validates the scheme, teams and actor before writing either the header or vote lines."
"20260801040000","20260801040000_atomic_membership_request_approval.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; grant-change","8/9 names mentioned in Production schema","auth.uid; public.approve_membership_request; public.clubs; public.membership_status_enum; public.membership_type_enum; public.request_status_enum; public.requests; public.team_memberships; public.teams; public.user_roles","Approve one team membership request and apply its membership changes in a single transaction. The function derives organisation scope from the team and checks the signed-in administrator before changing any row."
"20260801041000","20260801041000_safe_venue_delete.sql","Main only","No","B3 Hockey operations","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-delete; security-definer; grant-change","9/10 names mentioned in Production schema","auth.uid; public.delete_unused_venue; public.fixtures; public.pitches; public.revsports_pitch_mappings; public.revsports_venue_mappings; public.teams; public.umpire_fixtures; public.user_roles; public.venue_associations; public.venues","Delete an unused venue in one transaction. Historical fixture, umpire and RevSports mapping links must be reassigned first so ON DELETE SET NULL does not silently remove useful data-quality context."
"20260801050000","20260801050000_scoped_module_controls.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-delete; data-update; data-insert; security-definer; rls-or-policy; grant-change","7/13 names mentioned in Production schema","auth.uid; public.associations; public.can_manage_module_scope; public.clear_module_feature_flag; public.clubs; public.divisions; public.module_feature_flags; public.module_feature_flags_scope_key; public.profiles; public.resolve_module_enabled; public.set_module_feature_flag; public.teams; public.user_role_enum; public.user_roles","Allow association and club administrators to control SportStack modules at association, club, division and team scope. A missing row inherits from the closest parent; all current modules remain enabled by default."
"20260801060000","20260801060000_committee_setup.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; security-definer; rls-or-policy; grant-change; cron-or-trigger","5/17 names mentioned in Production schema","auth.uid; public.associations; public.can_manage_committee_scope; public.can_view_committee; public.clubs; public.committee_documents; public.committee_member_qualifications; public.committee_members; public.committee_positions; public.committees; public.has_committee_permission; public.is_active_committee_member; public.profiles; public.set_committee_updated_at; public.user_role_enum; public.user_roles; public.validate_committee_member_position; public.validate_committee_scope","Association and club committee setup. Position permissions flow to current appointments; committee records are private to scoped administrators and current committee members."
"20260801070000","20260801070000_committee_operations.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change; cron-or-trigger","1/26 names mentioned in Production schema","auth.uid; public.audit_committee_activity; public.can_manage_committee_scope; public.can_view_committee; public.committee_activity_log; public.committee_agenda_template_items; public.committee_agenda_templates; public.committee_documents; public.committee_meeting_items; public.committee_meetings; public.committee_member_qualifications; public.committee_members; public.committee_messages; public.committee_poll_answers; public.committee_poll_questions; public.committee_poll_responses; public.committee_polls; public.committee_positions; public.committees; public.create_committee_agenda_template; public.create_committee_meeting_from_template; public.create_committee_poll; public.has_committee_permission; public.is_active_committee_member; public.profiles; public.set_committee_updated_at; public.submit_committee_poll_response","Committee polls, meeting templates/minutes, decisions/actions, private chat and append-only activity history. Scoped administrators can administer committee records, but voting and chat"
"20260801071000","20260801071000_committee_operations_hardening.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","grant-change","None mentioned in Production schema","public.audit_committee_activity; public.set_committee_updated_at","Trigger helpers are internal database functions and must not be callable through the public API."
"20260801072000","20260801072000_committee_operations_indexes.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","none detected","None mentioned in Production schema","public.committee_activity_log; public.committee_agenda_template_items; public.committee_agenda_templates; public.committee_documents; public.committee_meeting_items; public.committee_meetings; public.committee_member_qualifications; public.committee_members; public.committee_messages; public.committee_poll_answers; public.committee_poll_responses; public.committee_polls; public.committees","Cover committee foreign keys used by joins, permission checks and filters."
"20260801080000","20260801080000_safety_hub_write_workflows.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; grant-change","8/9 names mentioned in Production schema","auth.uid; public.action_status_enum; public.rg_be_smart_actions; public.rg_bright_ideas; public.rg_quality_improvement_items; public.rg_record_links; public.rg_risk_register; public.rg_risk_reviews; public.risk_status_enum; public.save_safety_hub_form","Atomic write entrypoint for the existing Safety Hub forms. SECURITY INVOKER deliberately preserves the table RLS policies and audit triggers."
